"list","date","vendor","product","price","cat","subcat","subsubcat","feedback","from","to","goodFB","greatFB","okFB","poorFB","badFB","worstFB"
"ZuYtvaGh","2014-02-02","Eos","New Vendor Fire Sale: 1 Quad Dose Cheeba Chew","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 0 days ago anon [0 deals] 5/5 4 days ago anon ~5/5, 1~2 deals 5/5 awesome 4 days ago anon [0 deals] 5/5 5 days ago anon [0 deals] 5/5 Great deal, awesome vendor - good packaging. THE BEST!!!!! 6 days ago anon ~5/5, 6~10 deals 5/5 Fast shipping and prompt communication 6 days ago anon ~5/5, 3~5 deals 5/5 Arrived quickly. Clever stealth. Arrived in 3 days to eastern US 1 days ago anon [0 deals] 5/5 Great product, vendor, and customer service. A++ 5 days ago anon ~5/5, 6~10 deals "," USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"aPqlDBEU","2014-02-05","medibuds","Bhang Bar Cookies and Cream Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 quick and professional 4 days ago anon [0 deals] 5/5 On time as always 5 days ago anon [0 deals] "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eMtrFjdGfu","2014-02-05","medibuds","Bhang Bar Peppermint Ice Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 I have been dealing with this vendor for a few months now and has yet to disappoint me. One of the best vendors around period! 6 days ago anon [0 deals] 5/5 SUPER Fast Shipping. Great Product. Happy. Will Order again. 6 days ago anon [0 deals] 5/5 This guy is 100% 4 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"eulVnxYLpc","2014-02-05","medibuds","Bhang Bar Pretzel Peanut Butter Double Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Order came right on time and product is great. 5 days ago anon [0 deals] "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FyErLd","2014-02-05","Lion","250mg Sweet'n Sour","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fantastic shipping! Came in perfectly and very, very pleased! 6 days ago anon ~5/5, 6~10 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FkZUxJRmx","2014-02-05","SweetMeats","100mg infused hash chocolate covered oreo","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Came in fantastically, can't wait to try it! 5 days ago anon ~5/5, 6~10 deals "," From: USA To: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"FwTbSqvDF","2014-02-05","Lion","1 Peach Incredibles Bar, 100mg THC","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 6 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"gRpLSNvqY","2014-02-05","Lion","Toffee Bhang Chocolate, Double Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 As described, good packaging, quick shipping. I'm a happy customer. 4 days ago anon ~5/5, 3~5 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"JgdUTga","2014-02-05","coasttocoast","10-ct THCookies - - FRESHLY BAKED - - ALWAYS POTENT","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 Fast shipping, good cookies! Will order again. 0 days ago anon [0 deals] 4/5 Very fast, with great shipping, but disappointed with the potency. Still good regardless. 3 days ago anon [0 deals] "," From: USA To: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"jWlTKKrF","2014-02-05","medibuds","Bhang Bar Dark Fire Triple Strength","[1.00e-07,1.49e+00)","Drugs","Cannabis","Edibles"," Feedbacks: 5/5 simply the best! 3 days ago anon [0 deals] 5/5 On time as always 5 days ago anon [0 deals] 5/5 Love these items. Transaction was perfect. 0 days ago anon ~5/5, 1~2 deals 5/5 A++++, shipped same day ordered, arrived 3 days later. Vendor rocks! 4 days ago anon ~5/5, 1~2 deals "," From: USA ","NA",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
