Date,Price,Open,High,Low,Vol,Change
2015-03-30,48.68,48.57,49.16,47.61,355.87K,-0.39%
2015-03-27,48.87,51.01,51.38,48.21,384.09K,-4.98%
2015-03-26,51.43,49.02,52.48,48.73,515.28K,4.51%
2015-03-25,49.21,47.72,49.46,47,398.80K,3.58%
2015-03-24,47.51,47.46,48.56,46.67,309.55K,0.13%
2015-03-23,47.45,46.41,47.61,45.33,292.42K,3.78%
2015-03-20,45.72,43.99,46.53,43.31,22.46K,4.00%
2015-03-19,43.96,44.6,44.71,42.75,106.91K,-1.57%
2015-03-18,44.66,42.51,45.34,42.03,220.64K,2.76%
2015-03-17,43.46,43.84,44.2,42.41,346.31K,-0.96%
2015-03-16,43.88,44.81,45,42.85,367.60K,-2.14%
2015-03-13,44.84,46.93,47.28,44.75,395.72K,-4.70%
2015-03-12,47.05,48.44,48.76,46.86,358.38K,-2.33%
2015-03-11,48.17,48.77,49.05,47.33,404.59K,-0.25%
2015-03-10,48.29,50.08,50.36,48.2,395.76K,-3.42%
2015-03-09,50,49.6,50.79,49.25,409.88K,0.79%
2015-03-06,49.61,50.89,51.22,48.88,406.84K,-2.27%
2015-03-05,50.76,51.62,52.4,50.61,370.95K,-1.49%
2015-03-04,51.53,50.61,51.99,49.6,463.99K,2.00%
2015-03-03,50.52,49.8,50.83,49.45,370.60K,1.88%
2015-03-02,49.59,49.45,51.04,48.71,427.18K,-0.34%
2015-02-27,49.76,48.97,49.94,48.46,399.49K,3.30%
2015-02-26,48.17,51,51.22,47.8,459.58K,-5.53%
2015-02-25,50.99,49.16,51.28,48.43,429.52K,3.47%
2015-02-24,49.28,49.42,50.33,48.68,293.10K,-0.34%
2015-02-23,49.45,50.75,50.99,48.67,475.38K,-1.77%
2015-02-20,50.34,51.24,51.85,49.91,30.66K,-1.60%
2015-02-19,51.16,50.55,52.14,49.15,125.21K,-1.88%
2015-02-18,52.14,53.24,53.41,50.32,257.48K,-2.60%
2015-02-17,53.53,52.75,54.15,50.81,518.80K,-0.15%
2015-02-16,53.61,54.04,54.08,52.92,-,-0.82%
2015-02-15,54.06,53.75,54.42,53.71,-,2.42%
2015-02-13,52.78,51.35,53.43,51.03,437.07K,3.07%
2015-02-12,51.21,49.42,51.6,49.14,563.66K,4.85%
2015-02-11,48.84,50.98,51.14,48.05,519.27K,-2.36%
2015-02-10,50.02,52.43,52.65,49.86,501.70K,-5.37%
2015-02-09,52.86,52.01,53.99,51.65,536.36K,2.26%
2015-02-06,51.69,50.86,53.16,50.72,584.98K,2.40%
2015-02-05,50.48,48.67,52.1,47.36,596.85K,4.19%
2015-02-04,48.45,51.67,52.56,47.95,577.52K,-8.67%
2015-02-03,53.05,49.79,54.24,49.69,644.92K,7.02%
2015-02-02,49.57,47.59,50.56,46.67,511.41K,2.76%
2015-01-30,48.24,44.63,48.35,44.31,454.14K,8.33%
2015-01-29,44.53,44.43,44.96,43.58,300.73K,0.18%
2015-01-28,44.45,45.83,45.83,44.08,365.44K,-3.85%
2015-01-27,46.23,45.13,46.55,44.81,313.14K,2.39%
2015-01-26,45.15,45.2,46.41,44.35,310.64K,-0.97%
2015-01-23,45.59,46.63,47.76,45.21,374.29K,-1.55%
2015-01-22,46.31,47.35,49.09,45.87,426.83K,-3.08%
2015-01-21,47.78,46.69,48.2,46.55,340.25K,3.00%
2015-01-20,46.39,48.69,48.77,45.89,49.74K,-2.91%
2015-01-19,47.78,48.84,49.19,47.64,-,-2.18%
2015-01-18,48.85,48.95,49.06,48.78,-,0.32%
2015-01-16,48.69,46.35,48.87,45.95,175.63K,5.28%
2015-01-15,46.25,48.6,51.27,46.07,478.34K,-4.60%
2015-01-14,48.48,46.16,48.91,45.01,510.25K,5.64%
2015-01-13,45.89,45.69,46.79,44.2,476.54K,-0.39%
2015-01-12,46.07,48.19,48.19,45.62,394.95K,-4.74%
2015-01-09,48.36,48.92,49.61,47.16,421.01K,-0.88%
2015-01-08,48.79,48.78,49.65,47.73,362.08K,0.29%
2015-01-07,48.65,48,49.31,46.83,460.08K,1.50%
2015-01-06,47.93,50,50.37,47.55,451.64K,-4.22%
2015-01-05,50.04,52.61,52.73,49.68,375.78K,-5.03%
2015-01-02,52.69,53.76,55.11,52.03,268.71K,-3.44%
2015-01-01,54.56,53.73,54.85,53.72,-,2.43%
2014-12-31,53.27,53.87,54.02,52.44,233.52K,-1.57%
2014-12-30,54.12,53.72,54.32,52.7,218.56K,0.95%
2014-12-29,53.61,55.05,55.74,52.9,241.38K,-2.05%
2014-12-26,54.73,55.86,56.59,54.51,127.20K,-2.13%
2014-12-25,55.92,55.87,56.05,55.73,-,0.14%
2014-12-24,55.84,56.8,57.15,55.07,174.97K,-2.24%
2014-12-23,57.12,55.39,57.56,55.06,274.00K,3.37%
2014-12-22,55.26,57.75,58.53,55.13,277.32K,-2.23%
2014-12-19,56.52,55.5,56.91,54.2,26.47K,4.45%
2014-12-18,54.11,55.83,58.73,54.05,106.32K,-4.18%
2014-12-17,56.47,55.5,58.98,54.21,351.98K,0.97%
2014-12-16,55.93,55.4,57.15,53.6,518.78K,0.04%
2014-12-15,55.91,57.07,58.73,55.02,424.95K,-3.29%
2014-12-12,57.81,59.17,59.57,57.34,414.22K,-3.57%
2014-12-11,59.95,61.12,61.68,58.96,392.49K,-1.62%
2014-12-10,60.94,63.33,63.43,60.43,456.17K,-4.51%
2014-12-09,63.82,63.01,64.2,62.25,322.80K,1.22%
2014-12-08,63.05,65.46,65.55,62.78,330.08K,-4.24%
2014-12-05,65.84,66.8,66.89,65.17,276.53K,-1.45%
2014-12-04,66.81,67.4,68.22,66.09,237.01K,-0.85%
2014-12-03,67.38,67.6,68.23,66.8,293.48K,0.75%
2014-12-02,66.88,69.24,69.32,66.67,360.30K,-3.07%
2014-12-01,69,66,69.54,63.72,504.12K,4.31%
2014-11-28,66.15,73.5,73.56,65.69,552.88K,-3.50%
2014-11-27,68.55,73.54,73.55,67.77,-,-6.98%
2014-11-26,73.69,73.87,74.48,73.3,258.38K,-0.54%
2014-11-25,74.09,75.51,76.58,73.71,294.45K,-2.23%
2014-11-24,75.78,76.62,77.02,75.45,194.75K,-0.95%
2014-11-21,76.51,76.29,77.83,75.62,275.32K,1.23%
2014-11-20,75.58,74.25,75.76,74.17,28.25K,1.34%
2014-11-19,74.58,74.23,75.4,73.88,116.28K,-0.04%
