Date,Price,Open,High,Low,Vol,Change
2014-08-21,102.63,102.14,102.79,101.21,179.61K,0.34%
2014-08-20,102.28,101.5,102.37,101.44,166.19K,0.71%
2014-08-19,101.56,101.62,102.07,101.07,177.10K,-0.04%
2014-08-18,101.6,103.21,103.3,101.11,181.10K,-1.86%
2014-08-15,103.53,102.05,103.76,102.05,199.63K,1.49%
2014-08-14,102.01,104.06,104.33,101.92,18.57K,-2.18%
2014-08-13,104.28,102.84,104.35,102.37,99.10K,1.22%
2014-08-12,103.02,104.5,104.61,102.65,139.91K,-1.59%
2014-08-11,104.68,105,105.43,104.35,143.61K,-0.32%
2014-08-08,105.02,105.67,106.85,104.67,203.74K,-0.40%
2014-08-07,105.44,104.64,105.92,104.16,189.82K,0.81%
2014-08-06,104.59,104.88,105.44,104.54,204.92K,-0.02%
2014-08-05,104.61,105.5,105.65,104.07,209.18K,-0.76%
2014-08-04,105.41,104.82,105.71,104.52,207.79K,0.54%
2014-08-01,104.84,105.6,106.12,104.39,216.36K,-1.11%
2014-07-31,106.02,106.06,106.59,105.41,234.55K,-0.46%
2014-07-30,106.51,107.5,107.86,105.84,218.39K,-1.12%
2014-07-29,107.72,107.46,108.05,107.13,176.64K,0.14%
2014-07-28,107.57,108.3,108.38,107.01,139.52K,-0.76%
2014-07-25,108.39,107.2,108.46,106.73,253.17K,1.23%
2014-07-24,107.07,108.15,108.21,106.83,179.57K,-0.89%
2014-07-23,108.03,106.87,108.25,106.87,207.15K,0.65%
2014-07-22,107.33,107.8,108.4,106.83,183.10K,-0.33%
2014-07-21,107.68,107.15,107.87,106.79,211.70K,0.41%
2014-07-18,107.24,108.5,108.62,106.94,210.88K,-0.60%
2014-07-17,107.89,107.13,108.6,106.8,296.51K,1.93%
2014-07-16,105.85,105.9,106.58,105.72,11.52K,-0.16%
2014-07-15,106.02,106.81,106.9,104.39,63.86K,-0.90%
2014-07-14,106.98,106.42,107.5,106.21,99.20K,0.30%
2014-07-11,106.66,108.58,108.74,106.27,171.04K,-1.85%
2014-07-10,108.67,108.15,108.88,107.76,152.47K,0.36%
2014-07-09,108.28,108.97,109,108.12,173.18K,-0.61%
2014-07-08,108.94,110,110.16,108.69,232.73K,-1.18%
2014-07-07,110.24,110.65,110.92,109.88,152.51K,-0.36%
2014-07-04,110.64,111.05,111.29,110.56,71.85K,-0.32%
2014-07-03,111,111,111.17,110.53,218.98K,-0.22%
2014-07-02,111.24,112.19,112.42,110.92,269.76K,-0.94%
2014-07-01,112.29,112.5,112.83,111.85,229.19K,-0.06%
2014-06-30,112.36,113.3,113.3,112.16,221.84K,-0.83%
2014-06-27,113.3,113.07,113.71,112.9,135.71K,0.08%
2014-06-26,113.21,114.24,114.29,113,180.86K,-0.69%
2014-06-25,114,114.31,114.65,113.23,211.91K,-0.40%
2014-06-24,114.46,113.9,114.83,113.55,230.49K,0.30%
2014-06-23,114.12,114.99,115.66,113.86,220.72K,-0.60%
2014-06-20,114.81,114.92,115.11,114.43,198.84K,-0.22%
2014-06-19,115.06,114.22,115.71,114.15,250.24K,0.70%
2014-06-18,114.26,113.46,114.54,113.05,240.75K,0.71%
2014-06-17,113.45,112.97,113.8,112.16,240.52K,0.45%
2014-06-16,112.94,112.73,113.28,112.33,175.90K,-0.41%
2014-06-13,113.41,113.75,114.69,112.75,16.05K,0.35%
2014-06-12,113.02,110.09,113.34,110,133.07K,2.79%
2014-06-11,109.95,109.61,110.25,109.44,131.57K,0.39%
2014-06-10,109.52,109.95,110.32,109.1,214.92K,-0.43%
2014-06-09,109.99,108.68,110.16,108.55,189.21K,1.27%
2014-06-06,108.61,108.85,109.31,108.46,155.00K,-0.17%
2014-06-05,108.79,108.13,108.96,107.77,193.33K,0.36%
2014-06-04,108.4,108.89,109.5,108.07,211.09K,-0.39%
2014-06-03,108.82,108.8,108.98,108.32,177.67K,-0.01%
2014-06-02,108.83,109.7,109.87,108.62,194.25K,-0.53%
2014-05-30,109.41,110.02,110.13,109.22,175.05K,-0.51%
2014-05-29,109.97,109.89,110.46,109.72,174.68K,0.15%
2014-05-28,109.81,110.22,110.4,109.41,175.31K,-0.19%
2014-05-27,110.02,110.35,110.8,109.71,173.41K,-0.27%
