Date	Price	Open	High	Low	Change %
Nov 22, 2014	350.00	345.36	362.49	345.36	1.34%
Nov 21, 2014	345.36	355.37	358.57	339.62	-2.82%
Nov 20, 2014	355.37	376.60	378.00	352.00	-5.64%
Nov 19, 2014	376.60	369.99	385.79	368.52	1.79%
Nov 18, 2014	369.99	382.03	388.69	367.43	-3.15%
Nov 17, 2014	382.03	384.14	406.00	373.40	-0.55%
Nov 16, 2014	384.14	373.57	388.88	369.00	2.83%
Nov 15, 2014	373.57	396.35	404.37	365.19	-5.75%
Nov 14, 2014	396.35	412.99	414.35	378.00	-4.07%
Nov 13, 2014	413.15	422.10	454.60	385.13	-1.87%
Nov 12, 2014	421.00	364.00	428.00	363.45	15.66%
Nov 11, 2014	364.00	363.66	372.36	358.27	0.27%
Nov 10, 2014	363.02	362.37	374.86	356.10	0.25%
Nov 09, 2014	362.10	341.37	363.97	340.12	6.07%
Nov 08, 2014	341.37	338.72	344.59	337.31	0.78%
Nov 07, 2014	338.72	344.00	350.00	337.82	-1.53%
Nov 06, 2014	344.00	334.89	348.49	332.68	2.72%
Nov 05, 2014	334.89	325.50	339.00	324.70	2.88%
Nov 04, 2014	325.50	322.00	329.01	318.07	1.09%
Nov 03, 2014	322.00	323.77	335.47	320.50	-0.47%
Nov 02, 2014	323.51	323.18	330.00	319.10	0.12%
Nov 01, 2014	323.14	335.07	337.70	319.01	-3.56%
Oct 31, 2014	335.07	342.70	345.20	332.00	-2.22%
Oct 30, 2014	342.70	331.08	351.25	328.50	3.51%
Oct 29, 2014	331.08	349.99	351.00	328.71	-5.37%
Oct 28, 2014	349.87	347.87	356.50	346.70	0.57%
Oct 27, 2014	347.87	350.29	355.00	342.80	-0.68%
Oct 26, 2014	350.24	346.82	359.00	343.81	0.83%
Oct 25, 2014	347.37	352.28	355.00	337.99	-1.34%
Oct 24, 2014	352.10	354.17	360.00	349.11	-0.58%
Oct 23, 2014	354.17	377.07	378.98	351.00	-6.08%
Oct 22, 2014	377.07	381.00	383.00	374.89	-1.03%
Oct 21, 2014	381.00	377.07	385.60	373.50	1.04%
Oct 20, 2014	377.07	382.33	385.00	372.15	-2.06%
Oct 19, 2014	384.98	385.94	388.33	379.30	-0.25%
Oct 18, 2014	385.94	378.40	389.00	374.00	1.99%
Oct 17, 2014	378.40	376.08	381.20	367.88	0.62%
Oct 16, 2014	376.08	387.04	391.50	362.00	-2.83%
Oct 15, 2014	387.04	397.39	397.89	380.30	-2.61%
Oct 14, 2014	397.39	385.00	408.20	383.50	3.22%
Oct 13, 2014	385.00	375.01	392.61	362.11	2.67%
Oct 12, 2014	375.01	355.02	378.11	348.30	5.63%
Oct 11, 2014	355.02	353.58	363.91	345.30	0.41%
Oct 10, 2014	353.58	360.97	370.78	346.34	-2.05%
Oct 09, 2014	360.97	352.00	380.95	343.00	2.55%
Oct 08, 2014	352.00	331.00	353.89	323.53	6.67%
Oct 07, 2014	330.00	325.00	337.93	313.11	1.54%
Oct 06, 2014	325.00	315.89	343.34	299.44	2.89%
Oct 05, 2014	315.89	316.63	335.05	285.10	-0.27%
Oct 04, 2014	316.75	342.58	352.96	308.60	-7.54%
Oct 03, 2014	342.58	367.00	369.91	338.21	-6.48%
Oct 02, 2014	366.31	374.70	378.75	363.20	-2.24%
Oct 01, 2014	374.70	380.29	385.00	372.00	-2.16%
Sep 30, 2014	382.97	368.82	389.00	364.12	3.84%
Sep 29, 2014	368.82	370.00	385.42	360.74	-0.32%
Sep 28, 2014	370.00	391.00	396.00	364.60	-5.37%
Sep 27, 2014	391.00	394.72	398.37	386.72	-1.01%
Sep 26, 2014	395.00	401.91	412.00	388.00	-2.23%
Sep 25, 2014	404.00	410.55	411.61	396.02	-1.60%
Sep 24, 2014	410.55	425.31	429.68	406.80	-3.47%
Sep 23, 2014	425.31	386.20	445.00	381.92	9.91%
Sep 22, 2014	386.96	385.12	398.78	380.03	0.48%
Sep 21, 2014	385.12	398.46	402.00	373.40	-3.96%
Sep 20, 2014	401.00	382.58	414.00	376.79	4.81%
Sep 19, 2014	382.58	415.45	422.29	370.00	-7.91%
Sep 18, 2014	415.45	444.97	448.00	390.32	-7.25%
Sep 17, 2014	447.93	456.89	460.00	435.00	-1.96%
Sep 16, 2014	456.89	465.37	467.55	452.32	-1.84%
Sep 15, 2014	465.46	469.68	470.00	464.59	-0.90%
Sep 14, 2014	469.68	472.98	473.40	466.03	-0.70%
Sep 13, 2014	472.98	469.50	474.30	466.00	0.74%
Sep 12, 2014	469.50	472.79	473.00	464.53	-0.70%
Sep 11, 2014	472.79	473.47	478.93	467.00	-0.20%
Sep 10, 2014	473.74	466.90	484.00	465.06	1.47%
Sep 09, 2014	466.90	472.00	473.00	460.00	-1.08%
Sep 08, 2014	472.00	477.91	479.10	460.07	-1.24%
Sep 07, 2014	477.91	482.17	485.00	475.11	-0.88%
Sep 06, 2014	482.17	477.89	483.00	475.31	0.90%
Sep 05, 2014	477.89	488.97	488.97	476.00	-2.27%
Sep 04, 2014	488.97	469.79	494.50	468.68	4.03%
Sep 03, 2014	470.01	473.98	476.00	469.01	-0.84%
Sep 02, 2014	473.98	472.66	482.00	464.95	0.28%
Sep 01, 2014	472.66	475.90	488.00	469.47	-0.68%
Aug 31, 2014	475.90	497.20	499.10	472.20	-4.28%
Aug 30, 2014	497.20	503.50	505.55	496.00	-1.25%
Aug 29, 2014	503.50	502.68	507.51	495.61	0.17%
Aug 28, 2014	502.65	508.26	512.22	498.07	-1.10%
Aug 27, 2014	508.26	510.00	518.00	505.00	-0.33%
Aug 26, 2014	509.94	498.22	513.94	498.22	2.35%
Aug 25, 2014	498.22	505.01	506.87	492.95	-1.35%
Aug 24, 2014	505.01	492.98	511.68	490.00	2.44%
Aug 23, 2014	492.98	510.00	510.63	483.02	-3.34%
Aug 22, 2014	510.00	508.33	522.00	491.11	0.43%
Aug 21, 2014	507.82	506.72	529.73	502.00	0.22%
Aug 20, 2014	506.72	478.06	518.67	455.41	5.57%
Aug 19, 2014	480.00	439.00	487.28	427.13	9.08%
Aug 18, 2014	440.05	487.00	496.06	340.00	-9.64%
Aug 17, 2014	487.00	514.90	516.99	480.00	-5.36%
Aug 16, 2014	514.59	494.46	519.00	480.00	4.07%
Aug 15, 2014	494.46	506.78	517.42	484.18	-2.43%
Aug 14, 2014	506.78	538.30	539.44	491.31	-5.68%
Aug 13, 2014	537.29	565.83	570.00	523.00	-5.04%
Aug 12, 2014	565.83	572.00	574.97	560.94	-1.08%
Aug 11, 2014	572.00	586.10	588.00	566.60	-2.41%
Aug 10, 2014	586.10	585.16	589.70	580.00	0.16%
Aug 09, 2014	585.16	587.60	589.99	580.00	-0.41%
Aug 08, 2014	587.60	584.23	595.00	583.16	0.58%
Aug 07, 2014	584.23	579.16	589.00	578.00	0.87%
Aug 06, 2014	579.16	579.69	584.37	572.19	-0.09%
Aug 05, 2014	579.69	580.04	583.88	574.76	-0.06%
Aug 04, 2014	580.04	579.55	588.88	576.00	0.08%
Aug 03, 2014	579.55	581.89	584.99	572.00	-0.40%
Aug 02, 2014	581.89	590.38	591.97	576.11	-1.54%
Aug 01, 2014	591.00	577.68	598.50	575.00	2.30%
Jul 31, 2014	577.68	564.83	585.00	555.75	2.28%
Jul 30, 2014	564.83	577.83	579.88	555.00	-2.25%
Jul 29, 2014	577.83	577.63	583.40	572.16	0.03%
Jul 28, 2014	577.63	586.49	587.94	562.00	-1.51%
Jul 27, 2014	586.49	590.00	595.00	582.10	-0.60%
Jul 26, 2014	590.00	596.68	596.68	583.99	-1.12%
Jul 25, 2014	596.68	593.03	604.00	586.40	0.62%
Jul 24, 2014	593.03	610.86	613.41	578.60	-2.92%
Jul 23, 2014	610.86	613.53	616.00	609.00	-0.44%
Jul 22, 2014	613.53	614.99	616.40	611.30	-0.24%
Jul 21, 2014	614.99	616.00	616.40	611.50	-0.16%
Jul 20, 2014	616.00	619.80	619.80	612.00	-0.61%
Jul 19, 2014	619.80	621.97	622.00	616.64	-0.09%
Jul 18, 2014	620.39	617.00	621.67	611.00	0.55%
Jul 17, 2014	617.00	611.23	623.00	606.00	0.94%
Jul 16, 2014	611.23	614.67	618.00	609.50	-0.56%
Jul 15, 2014	614.67	618.51	619.23	612.46	-0.62%
Jul 14, 2014	618.51	623.00	623.23	611.00	-0.72%
Jul 13, 2014	623.00	627.00	627.99	619.00	-0.64%
Jul 12, 2014	627.00	623.01	629.60	618.60	0.64%
Jul 11, 2014	623.01	609.66	626.25	605.57	2.19%
Jul 10, 2014	609.66	615.78	618.73	603.70	-0.99%
Jul 09, 2014	615.78	615.78	619.43	611.79	-0.00%
Jul 08, 2014	615.78	617.11	621.48	611.12	-0.29%
Jul 07, 2014	617.58	630.31	633.00	610.01	-2.02%
Jul 06, 2014	630.31	626.60	636.96	625.90	0.37%
Jul 05, 2014	627.99	625.00	629.13	621.10	0.28%
Jul 04, 2014	626.24	636.92	639.63	622.00	-1.68%
Jul 03, 2014	636.92	641.11	643.71	628.00	-0.65%
Jul 02, 2014	641.11	629.33	648.00	625.00	1.93%
Jul 01, 2014	629.00	640.09	654.10	623.37	-1.43%
Jun 30, 2014	638.15	595.00	646.35	593.02	7.25%
Jun 29, 2014	595.00	588.24	599.74	584.12	1.15%
Jun 28, 2014	588.24	598.64	605.00	584.00	-1.67%
Jun 27, 2014	598.22	576.82	600.00	573.00	3.71%
Jun 26, 2014	576.82	560.64	578.18	557.00	2.89%
Jun 25, 2014	560.64	571.30	575.00	555.01	-1.57%
Jun 24, 2014	569.58	584.99	585.85	567.68	-2.63%
Jun 23, 2014	584.99	593.79	595.85	577.40	-1.48%
Jun 22, 2014	593.79	586.67	597.92	585.30	1.21%
Jun 21, 2014	586.67	585.00	590.77	575.40	0.29%
Jun 20, 2014	585.00	588.00	592.15	578.97	-0.51%
Jun 19, 2014	588.00	599.49	604.00	585.17	-1.92%
Jun 18, 2014	599.49	602.33	610.00	592.98	-0.47%
Jun 17, 2014	602.33	585.62	605.00	583.02	2.85%
Jun 16, 2014	585.62	592.00	603.99	582.10	-1.08%
Jun 15, 2014	592.00	573.90	592.00	551.39	3.65%
Jun 14, 2014	571.13	597.01	597.41	546.99	-4.33%
Jun 13, 2014	597.01	576.60	612.00	575.01	3.65%
Jun 12, 2014	576.00	623.29	632.32	560.00	-7.59%
Jun 11, 2014	623.29	644.10	648.89	621.46	-3.23%
Jun 10, 2014	644.10	639.24	648.00	633.00	0.76%
Jun 09, 2014	639.24	644.54	648.00	631.60	-0.82%
Jun 08, 2014	644.54	644.30	650.00	641.50	-0.05%
Jun 07, 2014	644.86	639.02	646.00	629.00	0.85%
Jun 06, 2014	639.42	646.32	649.80	635.01	-1.48%
Jun 05, 2014	649.00	627.05	657.00	625.25	3.50%
Jun 04, 2014	627.05	657.01	659.70	605.00	-4.56%
Jun 03, 2014	657.01	647.89	668.00	635.50	1.41%
Jun 02, 2014	647.89	627.44	655.00	601.00	3.08%
Jun 01, 2014	628.53	615.00	667.53	608.00	2.20%
May 31, 2014	615.00	608.00	618.37	581.79	1.15%
May 30, 2014	608.00	556.48	614.00	555.07	9.11%
May 29, 2014	557.22	564.21	565.00	543.30	-1.24%
May 28, 2014	564.21	561.50	570.16	549.00	0.48%
May 27, 2014	561.50	576.00	586.47	540.42	-2.52%
May 26, 2014	576.00	564.01	590.00	558.47	2.13%
May 25, 2014	564.01	519.51	569.99	518.97	8.56%
May 24, 2014	519.51	511.99	521.60	502.53	1.47%
May 23, 2014	511.99	521.21	539.79	508.84	-1.91%
May 22, 2014	521.94	480.00	523.75	477.00	8.74%
May 21, 2014	480.00	478.00	488.00	475.00	0.44%
May 20, 2014	477.90	437.85	486.00	436.73	9.15%
May 19, 2014	437.85	440.65	441.90	435.39	-0.36%
May 18, 2014	439.43	440.95	441.00	438.85	-0.34%
May 17, 2014	440.95	438.89	440.98	437.96	0.47%
May 16, 2014	438.89	439.80	441.00	435.00	-0.21%
May 15, 2014	439.80	435.70	442.00	434.02	0.94%
May 14, 2014	435.70	433.36	439.48	432.53	0.54%
May 13, 2014	433.36	433.95	438.00	430.00	-0.14%
May 12, 2014	433.95	434.80	437.00	428.00	-0.20%
May 11, 2014	434.81	445.12	447.40	426.70	-2.32%
May 10, 2014	445.12	442.00	446.00	437.60	0.71%
May 09, 2014	442.00	429.04	444.00	426.50	3.02%
May 08, 2014	429.04	428.24	436.00	426.39	0.19%
May 07, 2014	428.24	421.00	437.00	415.00	1.72%
May 06, 2014	421.00	425.76	428.00	411.39	-1.12%
May 05, 2014	425.76	428.89	431.59	421.78	-0.73%
May 04, 2014	428.89	433.64	435.00	424.35	-1.09%
May 03, 2014	433.64	436.00	436.00	420.55	-0.54%
May 02, 2014	436.00	448.99	449.00	430.00	-2.89%
May 01, 2014	448.99	437.86	453.56	437.50	2.42%
Apr 30, 2014	438.38	438.88	443.40	428.00	-0.11%
Apr 29, 2014	438.88	429.52	443.00	423.00	2.18%
Apr 28, 2014	429.52	425.36	437.50	412.97	0.98%
Apr 27, 2014	425.36	449.00	450.50	425.36	-5.02%
Apr 26, 2014	447.82	449.96	457.00	435.00	-0.66%
Apr 25, 2014	450.77	492.67	494.00	434.03	-8.50%
Apr 24, 2014	492.67	479.90	496.10	470.37	2.66%
Apr 23, 2014	479.90	472.00	481.56	471.50	1.46%
Apr 22, 2014	473.00	483.65	490.00	472.00	-2.20%
Apr 21, 2014	483.65	489.53	504.00	477.32	-1.20%
